iteration,cost,grad_norm
1,7.3993844276498795,3.8469167985933566
2,7.302327954869727,3.808447630607423
3,7.296676557605235,3.750800433913181
4,7.31510478508772,3.551561863154319
5,7.318753794075285,3.41364694930768
6,7.312438602679225,3.3031394256052273
7,7.298141101184831,3.204472543909014
8,7.276326047809588,3.1123125525267277
9,7.247292105769683,3.0253256515386586
10,7.211518149444846,2.9433712795613367
11,7.1696571513072165,2.866508961412954
12,7.122456510038889,2.7947170553569967
13,7.071889012386594,2.728455189736751
14,7.016649348775198,2.6660895187002778
15,6.9580451067686475,2.60815284010136
16,6.896857041659858,2.5543339122594526
17,6.834537228930403,2.504733244696593
18,6.770094258712074,2.45783194251475
19,6.704399619974634,2.4139915474135933
20,6.637920354106194,2.372924680283944
21,6.570983663621098,2.3343096514675703
22,6.50473790693183,2.299033051973439
23,6.437827787083304,2.264407340243054
24,6.370936157069206,2.231484320937093
25,6.304330336364265,2.200174987105336
26,6.23815985563474,2.170276434505673
27,6.172530183388302,2.1416161734811325
28,6.107522920815471,2.1140547073695575
29,6.043202820878759,2.0874754890453695
30,5.97962129061052,2.061778455523115
31,5.916818750796193,2.0368765123735417
32,5.854826475590401,2.0126934331322683
33,5.7936681029981125,1.9891623793356812
34,5.733360895212355,1.9662247170589655
35,5.673916795087995,1.9438290073760327
36,5.6153433127568295,1.9219301230984243
37,5.55764426985319,1.900488470032495
38,5.50082042423273,1.879469299653979
39,5.444869994400017,1.858842103125499
40,5.389789099797225,1.838580077891276
41,5.335572130518951,1.8186596589115764
42,5.282212057832085,1.7990601073046393
43,5.229700695036648,1.7797631498318105
44,5.178028916653807,1.7607526633024007
45,5.127186842627107,1.7420143985819425
46,5.0771639931338886,1.7235357394540736
47,5.0287373704171445,1.7061190128346626
48,4.980520761025533,1.687988021337308
49,4.932940924114223,1.6701028466921124
50,4.88609432167169,1.65251393085578
51,4.839996761208967,1.6351759572238376
52,4.794643876364906,1.6180581454605303
53,4.750026068190426,1.6011448014834795
54,4.7061323103926505,1.584427517061825
55,4.662951169539063,1.5679008662280594
56,4.620471106578721,1.551560625100452
57,4.578680583897016,1.5354031114559363
58,4.537568115179746,1.5194249488659737
59,4.497122295605264,1.5036229794738858
60,4.457331823334321,1.4879942264088246
61,4.418185515924524,1.4725358724525743
62,4.379672323152612,1.4572452442421255
63,4.341781337040157,1.4421197987342753
64,4.304501799616349,1.427157110989396
65,4.2678231088231815,1.412354863017375
66,4.231734822887768,1.3977108336085469
67,4.19622666342766,1.3832228891064795
68,4.161288517508526,1.3688889750769329
69,4.1269104388358535,1.354707108819199
70,4.0930826482315,1.34067537265997
71,4.059795533520405,1.3267919079668833
72,4.027039648931794,1.313054909818554
73,3.9948057141018127,1.2994626222694008
74,3.963084612750107,1.286013334150333
75,3.9318673910909014,1.2727053753499287
76,3.901145256029227,1.2595371135246984
77,3.870909573184623,1.246506951191218
78,3.841151864777774,1.233613323157076
79,3.81186380740976,1.2208546942516658
80,3.783037229758783,1.2082295573217305
81,3.7546641102152254,1.1957364314602206
82,3.726736574472435,1.1833738604403954
83,3.6992468930878966,1.171140411330227
84,3.672187479026964,1.159034673264968
85,3.6455508851993663,1.1470552563583247
86,3.619329801997012,1.1352007907349833
87,3.593517054840129,1.123469925669286
88,3.568105601737673,1.111861328816713
89,3.5430885308668048,1.1003736855264572
90,3.518459058175456,1.0890056982248273
91,3.4942105250112494,1.0777560858605073
92,3.470336395779416,1.0666235834038238
93,3.446830255631842,1.055606941393172
94,3.4236858081889316,1.0447049255226288
95,3.4008968732956015,1.0339163162655463
96,3.378457384812413,1.023239908529587
97,3.356361388442569,1.0126745113392617
98,3.334603039595284,1.0022189475425314
99,3.3131766012858574,0.9918720535384892
100,3.292076442072594,0.9816326790235318
101,3.2712970340306167,0.9714996867537621
102,3.250832950762459,0.9614719523216673
103,3.23067886544529,0.951548363945372
104,3.2108295489144707,0.9417278222689895
105,3.1912798677831615,0.9320092401727916
106,3.172024782597571,0.9223915425920782
107,3.153224874055624,0.9130890400067462
108,3.134587131487724,0.9036314503571834
109,3.1161981632846527,0.8942766719320352
110,3.0980759906335456,0.8850388862095105
111,3.080221868057302,0.875906654278702
112,3.0626328967033682,0.8668723685702936
113,3.0453051544808227,0.857932354215329
114,3.028234492816987,0.8490847710481735
115,3.011416746217506,0.8403284681448346
116,2.994847789835629,0.8316625191026988
117,2.978523556272834,0.8230860577328167
118,2.9624400408877083,0.8145982265135469
119,2.9465933035916314,0.8061981635434099
120,2.930979469404874,0.7978850014855576
121,2.9155947284679082,0.7896578696808849
122,2.9005720165600803,0.7817001369288626
123,2.8859447853473004,0.7739462480166318
124,2.8713073468807244,0.7658761784367031
125,2.8570969275234424,0.7582730837998658
126,2.8428805929617096,0.7503776480612578
127,2.828815041919004,0.7425893568665283
128,2.8149372798528005,0.7349196446075623
129,2.801254672646737,0.7273458157675691
130,2.7877670667912238,0.7198548192772591
131,2.7744723418988704,0.7124412379361239
132,2.7613678463672926,0.7051030073883271
133,2.7484507846679436,0.6978392509680169
134,2.7357183292522302,0.6906494321339212
135,2.723167657077764,0.6835330664646363
136,2.710795964157046,0.6764896386392756
137,2.698600472944258,0.6695185873491311
138,2.686578436898786,0.6626193100838127
139,2.674727143619039,0.6557911721627677
140,2.663043917074277,0.6490335154003088
141,2.6515261191880435,0.642345665319792
142,2.64017115092717,0.635726936876648
143,2.62897645300519,0.6291766389099079
144,2.617939506282999,0.622694077570064
145,2.6070578319315825,0.616278558939672
146,2.5963289914081766,0.6099293910226307
147,2.5857505862866392,0.6036458852417932
148,2.5753202579744414,0.5974273575548475
149,2.5650356873420743,0.5912731292747038
150,2.554894594285355,0.5851825276619177
151,2.544894737236908,0.5791548863419456
152,2.5350339126397525,0.5731895455884131
153,2.52530995439325,0.5672858525044839
154,2.5157207332795424,0.5614431611272354
155,2.5062641563769206,0.5556608324743417
156,2.4969609013499925,0.5499990827417398
157,2.48787242849671,0.5444972623999756
158,2.478841438960824,0.5388880313737033
159,2.46991472111091,0.5333306107179153
160,2.4611032405918785,0.5278373123314084
161,2.4524266412835893,0.5224473202818085
162,2.444042556202551,0.5173458495873815
163,2.435644668218439,0.5120070124132541
164,2.427324947670602,0.5067174371457904
165,2.419105732434259,0.5014961323291371
166,2.4109920983518642,0.496333559568849
167,2.4031491449355675,0.4914551185332691
168,2.3952909017097954,0.4863557068525505
169,2.387506127958944,0.4813114926260283
170,2.37981621244729,0.4763389370535269
171,2.372225796910394,0.47142704515155825
172,2.364890705311894,0.4667890860198511
173,2.3576847124901517,0.46212534436096897
174,2.350441612871231,0.45729142740867645
175,2.3433307057089046,0.4526420799867774
176,2.3362528729140726,0.447946920943298
177,2.329252303250861,0.4433148057409883
178,2.3224144094417456,0.43884755232038547
179,2.315610933986524,0.43431126216572014
180,2.3088823991121643,0.4298248476799624
181,2.3022381813719557,0.42539385229590954
182,2.2956798869962904,0.42101263276923884
183,2.2892071275780577,0.41667767800578287
184,2.282818982128571,0.4123874069672185
185,2.276514380032228,0.40814109391541176
186,2.2702922068149864,0.40393830687932425
187,2.264151336206826,0.39977868832562996
188,2.258090641607005,0.39566188309494293
189,2.252109001294882,0.39158752006268116
190,2.2462053014370436,0.38755521112055075
191,2.2403784381174026,0.38356455476337326
192,2.2347506103759542,0.3797941271412999
193,2.229106978156395,0.37585421462460794
194,2.223513583748604,0.37195861413239106
195,2.217986267042286,0.368119645734339
196,2.2125284019684512,0.3643283546973055
197,2.207140194283225,0.3605788983602165
198,2.2018210224615746,0.3568686591094265
199,2.1965700436112434,0.3531965233777042
200,2.191386356046988,0.3495619400927089
201,2.1862690452143476,0.3459645386043065
202,2.1812171978133668,0.34240399370837876
203,2.176229906830861,0.3388799834150384
204,2.171306273765955,0.3353921783538182
205,2.1664454098612356,0.33194024100695385
206,2.1616464368959414,0.3285238275180557
207,2.1569084877326006,0.32514258983695177
208,2.1522307066970607,0.3217961775956146
209,2.147612249834637,0.3184842396111325
210,2.1430522850704303,0.3152064250496153
211,2.1385499922944216,0.3119623843124195
212,2.134104563387389,0.30875176970291396
213,2.129715202200257,0.30557423592217287
214,2.1253811244969776,0.3024294404321974
215,2.1211015578689345,0.2993170437170008
216,2.1168757416272914,0.2962367094652901
217,2.1127029266783808,0.2931881046932383
218,2.108582375386195,0.2901708998217424
219,2.104513361425233,0.28718476871933163
220,2.1004951696262726,0.28422938871938047
221,2.096527095817131,0.2813044406182851
222,2.092608446660046,0.27840960865973774
223,2.0887385394869717,0.2755445805090147
224,2.084916702133816,0.272709047220263
225,2.0811422727744446,0.2699027031990416
226,2.0774145997550666,0.26712524616180805
227,2.0737330414295423,0.26437637709361067
228,2.0700969659959734,0.2616558002049067
229,2.0665057513348994,0.2589632228881768
230,2.062958784849337,0.25629835567480946
231,2.0594554633068256,0.25366091219257914
232,2.0559951926836364,0.25105060912394095
233,2.052577388011226,0.24846716616526737
234,2.049201473225009,0.24591030598711183
235,2.045866881015504,0.24337975419552055
236,2.0425730526818664,0.2408752392943991
237,2.039319437987841,0.23839649264891022
238,2.0361054950201183,0.235943248449866
239,2.032930690049106,0.2335152436790736
240,2.029829041627718,0.23116622688822316
241,2.026740178081362,0.22877836854538194
242,2.0237158800480897,0.2264688667699471
243,2.0207022836646646,0.22412674296978632
244,2.0177183425342617,0.22181220228525816
245,2.0147685068252774,0.21952709721353947
246,2.0118536070353104,0.2172680004088439
247,2.008973548021001,0.21503285869141694
248,2.0061279913251058,0.21282073959212186
249,2.0033165331502794,0.21063120832235735
250,2.0005387526419667,0.2084640093841949
251,1.9977942257888301,0.206318941124086
252,1.9951146686020778,0.20424392353194756
253,1.9924440314903893,0.20213418163920105
254,1.989799292395293,0.20004701102127898
255,1.9871844406004557,0.19798564361876073
256,1.9846002246427732,0.1959475918609741
257,1.9820465654775192,0.19393119640427842
258,1.979523167541704,0.1919356596718245
259,1.9770296779388563,0.18996058578061306
260,1.9745657294368215,0.18800572879765665
261,1.972130952690904,0.18607089074030878
262,1.96972498002083,0.1841558856991587
263,1.9673474467571368,0.1822605287501472
264,1.9649979918325782,0.180384633295488
265,1.962676258104541,0.1785280109994433
266,1.9603818925584897,0.1766904723833503
267,1.9581145464442429,0.17487182748615393
268,1.9558738753668137,0.1730718864333166
269,1.953659539343462,0.17129045989023392
270,1.951471202834592,0.1695273594124302
271,1.949308534754148,0.1677823977115216
272,1.9471712084638817,0.16605538885457796
273,1.9450589017549529,0.1643461484114585
274,1.9429712968196196,0.16265449356174844
275,1.9409080802152259,0.16098024317044846
276,1.9388689428222368,0.15932321783959044
277,1.9368535797977224,0.15768323994137862
278,1.934861690525422,0.15606013363723292
279,1.9328929785632583,0.15445372488613338
280,1.9309471515890348,0.15286384144490808
281,1.9290239213448694,0.15129031286251207
282,1.9271230035808193,0.14973297046987602
283,1.9252441179980524,0.14819164736653734
284,1.92338698819185,0.14666617840498403
285,1.9215513415946677,0.14515640017341877
286,1.919736909419425,0.14366215097747648
287,1.9179434266031687,0.14218327082129995
288,1.9161706317512128,0.14071960138826886
289,1.9144182670818424,0.13927098602160337
290,1.912686078371648,0.13783726970500193
291,1.9110145050994531,0.13648211810249916
292,1.9093328806898278,0.13506655507593665
293,1.9076629706010035,0.13366683680848057
294,1.906010105686744,0.13228735456096816
295,1.9043755123870771,0.13092491437861528
296,1.9027593663984157,0.1295774344110229
297,1.901161566105363,0.1282439841371285
298,1.8995819340260005,0.1269241699104727
299,1.8980202711584824,0.1256177988090394
300,1.8964763723765647,0.12432474218675288
301,1.8949500311522733,0.12304488743404599
302,1.8934586653886332,0.12180645371256534
303,1.8919715636515164,0.12054766616365131
304,1.8904980612720088,0.11930237414271835
305,1.8890403690577555,0.11807246782948759
306,1.8875989201459884,0.1168564664002967
307,1.8861736934060238,0.11565338417942665
308,1.8847645484712277,0.1144627472417598
309,1.8833713129964478,0.1132843199993239
310,1.8819938062288628,0.11211795582766731
311,1.880631845716564,0.11096353656927718
312,1.8792852493908163,0.10982095125540009
313,1.8779538363170876,0.10869008952718695
314,1.8766374270322825,0.10757084005480384
315,1.8753358437342282,0.10646309049564637
316,1.8740489104055131,0.10536672784407265
317,1.8727764529000952,0.10428163882057088
318,1.8715182990045922,0.10320771020709986
319,1.8702742784806705,0.10214482911436368
320,1.8690442230927455,0.10109288318820873
321,1.867827966624112,0.100051760766347
322,1.8666395795599424,0.0990443486989616
323,1.8654542661438112,0.09802048477109557
324,1.8643106770955504,0.09706056906171655
325,1.863185437167056,0.09609591924803543
326,1.8620533136842872,0.0951107948494143
327,1.8609272032987167,0.094136157541629
328,1.8598106649824433,0.09317214135139464
329,1.858731434746986,0.09225917049843335
330,1.8576438102055617,0.0913047176526672
331,1.8565623440664765,0.09035943759507513
332,1.855490752599068,0.08942655872535152
333,1.8544300144594628,0.08850430000151109
334,1.8533803851754427,0.08759156768032621
335,1.8523419125042757,0.08668796829236193
336,1.8513145741742782,0.08579340736339114
337,1.8502983176582286,0.08490787717118037
338,1.8492930734418096,0.08403137654582374
339,1.8482987606175354,0.0831638875061056
340,1.8473152899675247,0.08230537210737308
341,1.8463425660368278,0.08145577527136136
342,1.8453804886807286,0.08061502872016134
343,1.844428954271641,0.0797830545531407
344,1.8434878566565727,0.07895976814754796
345,1.8425798942689204,0.07818149885909699
346,1.8416655085328864,0.0773689406434112
347,1.8407569043197098,0.07656559247056718
348,1.8398570938071905,0.075773952073388
