iteration,cost,grad_norm
1,8.25196412403305,4.062502707453387
2,8.473884650745536,3.8436501377045693
3,8.669327211488325,4.008928691031701
4,8.625889463930017,4.227879144315218
5,8.556838727745731,4.26111961255492
6,8.87662043454394,4.270638957028517
7,8.805875094850581,4.315727142177182
8,8.61053146289405,4.333422312606215
9,8.387560534491156,4.323847654976119
10,8.16358809753809,4.296022077282687
11,7.94529205501122,4.256527273844813
12,7.7340335003386045,4.209506498968546
13,7.529794827171073,4.1576688011797875
14,7.3322366301427895,4.102861296961858
15,7.1409803290389355,4.046360335499889
16,6.955678813730528,3.989042335489689
17,6.776028446446764,3.931499965318324
18,6.601765445756895,3.874126443305272
19,6.432658992315646,3.817177109169359
20,6.268504559028282,3.760813672118707
21,6.1091183372617435,3.705135330176352
22,5.954332835276261,3.6502002029469844
23,5.80399349723202,3.5960398193339334
24,5.6579561457878205,3.5426687504530325
25,5.516220394984688,3.490228403297147
26,5.378490694006624,3.438510556461732
27,5.2446329580069495,3.3875250729335704
28,5.114542215836334,3.3372909452146717
29,4.988117066420914,3.2878136822343995
30,4.86525630322668,3.239089449950428
31,4.745859466812051,3.191109714221342
32,4.629827675307948,3.143863872857549
33,4.517064174299598,3.097340554842528
34,4.407474631307834,3.051528228297301
35,4.300967266327187,3.006415470789787
36,4.197452887353757,2.961991077901279
37,4.096844873452736,2.9182440961032277
38,3.99905912994356,2.8751638220620284
39,3.904014029488229,2.8327397888135897
40,3.811698640909607,2.7910577130620005
41,3.7219602366097164,2.749978742032934
42,3.634710696299495,2.709485175811004
43,3.5498808154528008,2.6695835899792892
44,3.4674059011422504,2.630278183285793
45,3.3872222215485173,2.591567446590404
46,3.309266593503172,2.5534458750176605
47,3.233476665737585,2.515905807865029
48,3.1597912361496516,2.4789386013365755
49,3.0881504713371024,2.4425352656478987
50,3.018496032300324,2.406686782588268
51,2.9507711338495732,2.37138425150894
52,2.884920561754939,2.3366189480767816
53,2.8208906642677087,2.3023823406998294
54,2.7586293286159287,2.2686660877654394
55,2.698085948996256,2.2354620273006027
56,2.6392113900019365,2.202762164654871
57,2.5819579478414054,2.170558660715524
58,2.526279310742731,2.1388438216096315
59,2.472130519363165,2.1076100900985963
60,2.4194679276786157,2.0768500385395754
61,2.3682491646224557,2.0465563631682917
62,2.3184330966207547,2.016721879439184
63,2.269979791098444,1.9873395181842772
64,2.2228504809878853,1.9584023223925449
65,2.1770075302460565,1.929903444453022
66,2.13241440037174,1.901836143741694
67,2.089035617905692,1.8741937844623902
68,2.0474690690543245,1.8473789333835846
69,2.0065278655449204,1.821212983835231
70,1.9667456189088999,1.7953590881469756
71,1.9278766699795689,1.7692799564639035
72,1.8901049576655025,1.743820893780369
73,1.8533164153178943,1.7186680998416042
74,1.8174983313868815,1.6938388580194985
75,1.7826313076922282,1.6693481042551725
76,1.7486934413770852,1.6452089196880606
77,1.7156615434173252,1.621427908643764
78,1.6835118734224215,1.5980058980819696
79,1.6522206367529493,1.5749400556169881
80,1.621764295905208,1.5522256245759447
81,1.5921197504070734,1.5298570016974253
82,1.5632644329021301,1.5078283214837496
83,1.5351763551320543,1.486133741685775
84,1.5078341251310645,1.4647675656146784
85,1.4812169483514395,1.4437242817564926
86,1.4553046200720783,1.4229985647867525
87,1.4300775132564736,1.4025852608708897
88,1.40551656418603,1.3824793684816683
89,1.3816032571482653,1.362676019810426
90,1.3583196088714917,1.343170464723486
91,1.3356481530706112,1.3239580577111603
92,1.313571925288931,1.3050342476170307
93,1.292074448123458,1.286394569699065
94,1.2711397168693699,1.268034639538402
95,1.2507521855924786,1.2499501483607782
96,1.2308967536252449,1.2321368594124051
97,1.211558752475715,1.2145906051099098
98,1.1927239331363184,1.1973072847519795
99,1.1743784537788418,1.1802828626355213
100,1.1565088678221223,1.1635133664619235
101,1.1391021123595948,1.1469948859511798
102,1.122145496934498,1.1307235716053294
103,1.1056266926512153,1.1146956335798632
104,1.089533721611846,1.0989073406340402
105,1.0738549466676381,1.0833550191397983
106,1.058579061475399,1.0680350521350974
107,1.0436950808494245,1.0529438784118392
