iteration,cost,grad_norm
1,6.519052954821622,3.610831747623149
2,7.185698844527588,3.5747234301469177
3,7.237460440309886,3.3559053105988994
4,7.249732032279525,3.2090209724072176
5,7.2451882320809915,3.153071814950184
6,7.219002461915977,3.1493150867825785
7,7.170367387803438,3.1622558490923507
8,7.103499120427241,3.1723971295763493
9,7.023995441621784,3.1720197840279964
10,6.936835621350073,3.1596686732399646
11,6.845817049972048,3.1365978877559133
12,6.753619405296393,3.1049237043474434
13,6.6620471790040305,3.0667885612858745
14,6.572273798823665,3.024041712581404
15,6.485036531088378,2.978160456636409
16,6.400778328728482,2.930272448463987
17,6.319746493815802,2.881212816401721
18,6.242059658586294,2.831586517367707
19,6.167752643772443,2.7818240927847446
20,6.096806264810081,2.732227234457969
21,6.029167041966095,2.6830041747448847
22,5.9644670172490075,2.633374764615309
23,5.90313578114409,2.5855430364576737
24,5.844903691521063,2.538328658034101
25,5.78963041668442,2.491686670434966
26,5.7372081192168185,2.445703373582375
27,5.6875371867884255,2.4004360780646654
28,5.640520794131907,2.3559094897675035
29,5.596064092801429,2.3121294809916586
30,5.55407437148423,2.2690925819038457
31,5.514461308286388,2.226790934524837
32,5.477137143583552,2.1852146758363324
33,5.442016767354369,2.144353060085888
34,5.409017744179177,2.10419498947852
35,5.378060297574189,2.0647292690092396
36,5.349067269094764,2.0259447313781345
37,5.319045421597034,1.9871419311173906
38,5.294804573301684,1.9505911354327417
39,5.2717082602064975,1.913802304710874
40,5.25006514957099,1.8775240032309195
41,5.229936806483645,1.8418691627201644
42,5.211309891084252,1.8068453215856608
43,5.194146358772204,1.7724450760020367
44,5.178399369517772,1.7386583525158767
45,5.164018981792237,1.705473797927265
46,5.150954501076646,1.6728793805353406
47,5.139155579659655,1.6408629676024662
48,5.128572777103546,1.6094127281291835
49,5.119157855915372,1.578517332432221
50,5.1108639348499025,1.5481660058518696
51,5.10364556134655,1.5183485018782004
52,5.097458736665956,1.4890550411635
53,5.092260913005884,1.4602762431149234
54,5.088010974007764,1.432003062938991
55,5.084669205529609,1.4042267389277783
56,5.082197260874457,1.3769387506306032
57,5.080558123045501,1.350130786729868
58,5.079716065613249,1.3237947208483276
59,5.079636613174479,1.2979225935139047
60,5.080286502007744,1.272506598747023
61,5.081633641296399,1.2475390740385173
62,5.083647075143532,1.2230124927737063
63,5.086296945510467,1.1989194584004608
64,5.089554456151834,1.1752526998304431
65,5.093391837582621,1.1520050677077742
66,5.090334832991472,1.1279932575144915
67,5.094338526441817,1.1035656093905366
68,5.0983430532492156,1.0801679034143334
69,5.100135271400962,1.0582712130532181
70,5.104038715362494,1.0375541734479212
71,5.111715438705896,1.0169848208016614
72,5.119151787447208,0.9964912545216685
73,5.126705919532876,0.9763474732000769
74,5.134497699901596,0.9565869028229326
75,5.142567854249767,0.9372052379068911
76,5.150927383911338,0.9181933506703357
77,5.159574580054976,0.8995415070350081
78,5.168501706849148,0.8812399633166196
79,5.177698009587992,0.8632793134154255
80,5.187151230387676,0.845650739736258
81,5.196848433176616,0.8283461184438464
82,5.2067764735282145,0.8113580073072474
83,5.216922272171256,0.7946795691205737
84,5.227272974952632,0.7783044727769391
85,5.237816045301683,0.7622267965255243
86,5.248539315893524,0.7464409445023199
87,5.259431015394785,0.7309415796320112
88,5.270479779903241,0.7157235720250056
89,5.281674654968251,0.7007819604262266
90,5.293005091831507,0.6861119239590616
91,5.3044609401557254,0.671708761658584
92,5.316032438663358,0.6575678777330428
93,5.327710204581842,0.6436847709533987
94,5.339485222462854,0.6300550269737845
95,5.3513488327354235,0.6166743127100421
96,5.363292720220856,0.6035383721516848
97,5.37530890275328,0.5906430231664779
98,5.387389719995394,0.5779841549899081
99,5.399527822504149,0.565557726186534
100,5.411716161078444,0.5533597629367639
101,5.423947976406225,0.5413863575489145
102,5.436216789018903,0.5296336671283626
103,5.448516389554774,0.5180979123575195
104,5.460840829329239,0.5067753763553119
105,5.473184411207042,0.49566240359500613
106,5.485541680770175,0.48475539886608804
107,5.4979074177742255,0.47405082627054884
108,5.510276627885315,0.46354520824704504
109,5.522644534689574,0.45323512461849647
110,5.535006571967023,0.4431172116600958
111,5.547358376221716,0.43318816118563275
112,5.559695779460174,0.4234447196506774
113,5.572014802210216,0.4138836872715754
